16-18 excel and csv download data files: field names and descriptions,,,,,,
 '.' indicates that a field is intentionally null/blank,,,,,,
"Note: retention, and completion and attainment data will be made available in March.",,,,,,
,,,,,,
Column,Field Name,Field description,Null/blank field for Rectype 1,Null/blank field for Rectype 3,Null/blank field for Rectype 4,Null/blank field for Rectype 5 or 7
A,RECTYPE,"Record type: 
1= school or college; 
3= sixth form centre/consortium (see separate list of the sixth form centres and consortia and their feeder schools and colleges); 
4= Local Authority; 
5= National (all schools and colleges); 
7= National (state-funded schools and colleges)",,,,
B,ALPHAIND,Alphabetic index,,,.,.
C,REGION,Region code (see separate list of region and local authority codes),,,,.
D,LASORT,Local authority sort code within region,,,,.
E,LEA,Local authority number,,,,.
F,ESTAB,Establishment number,,,.,.
G,URN,Unique Reference Number of establishment,,,.,.
H,SCHNAME_AC,Name of converter academy,,.,.,.
I,SCHNAME,School/college name,,,.,.
J,ADDRESS1,School/college address (1),,.,.,.
K,ADDRESS2,School/college address (2),,.,.,.
L,ADDRESS3,School/college address (3),,,.,.
M,TOWN,Town where school/college is located,,,.,.
N,PCODE,School/college postcode,,,.,.
O,TELNUM,School/college telephone number ,,,.,.
P,CONTFLAG,"Contingency flag: results significantly affected: 
0= not significantly affected; 1= significantly affected",,,,.
Q,NFTYPE/FESITYPE,School type/FE college type,,,.,.
R,RELDENOM,Religious character ,,,.,.
S,ADMPOL,"Admissions policy
",,,.,.
T,ADMPOL_2017,Admissions policy - new definition from 2017 onwards,,,.,.
U,GEND1618,"Gender of sixth form: girls, boys or mixed",,,.,.
V,FEEDER,"Indicates whether a school/college is a feeder school/college for sixth form centre or consortium:
0= not a feeder school/college; 1= feeder school/college",,,.,.
W,AGERANGE,Age range,,,.,.
X,ICLOSE,Closed school/college flag: 0= open; 1= closed,,.,.,.
Y,TABKS2,"Indicates if a school is published in the primary school (Key Stage 2) performance tables:
0= No; 1= Yes",,.,.,.
Z,TAB15,"Indicates if a school or college is published in the secondary school (Key Stage 4) performance tables: 
0= No; 1= Yes",,.,.,.
AA,EXAMCONF,"Indicates if a school or college has confirmed their results:
blank/null= confirmed; R= not confirmed",,.,.,.
AB,DUMMY,Dummy field,.,.,.,.
AC,TPUP1618,Number of 16-18 year old students in sixth form,,,.,.
AD,TALLPUP_1618,Number of students aged 16-18 at the end of 16-18 study (includes students who entered for advanced level 3 qualifications or below-level 3 qualifications),,,.,.
